datetime,v,vw,o,c,h,l,t,n
2023-09-28 14:00:00,9117895.0,169.5923,169.61,170.249,170.27,168.69,1695909600000,167877
2023-09-28 15:00:00,8016355.0,170.6042,170.24,171.6,171.6181,169.8,1695913200000,70461
2023-09-28 16:00:00,5388981.0,171.5832,171.6,171.13,172.03,171.03,1695916800000,55173
2023-09-29 10:00:00,21426.0,172.1068,172.26,171.95,172.26,171.89,1695981600000,511
2023-09-29 11:00:00,67981.0,171.7882,171.87,171.75,172.05,171.32,1695985200000,1752
2023-09-29 12:00:00,309026.0,172.2229,172.05,172.64,172.74,171.2,1695988800000,5048
2023-09-29 13:00:00,6507455.0,172.1802,172.65,172.6977,172.8001,170.69,1695992400000,93477
2023-09-29 14:00:00,6826457.0,172.5565,172.7,172.435,173.07,172.04,1695996000000,148405
2023-09-29 15:00:00,4915506.0,172.1454,172.44,171.9301,172.76,171.58,1695999600000,53221
2023-09-29 16:00:00,3319367.0,171.7278,171.94,171.325,172.09,171.17,1696003200000,39190
2023-10-02 10:00:00,31810.0,171.3224,171.42,171.23,171.61,171.03,1696240800000,787
2023-10-02 11:00:00,82188.0,171.5598,171.37,171.55,171.97,171.25,1696244400000,1548
2023-10-02 12:00:00,186384.0,171.4188,171.38,171.3,172.99,171.06,1696248000000,3748
2023-10-02 13:00:00,6844674.0,172.6247,171.26,172.94,173.25,170.93,1696251600000,72939
2023-10-02 14:00:00,8714162.0,173.5064,172.94,173.009,174.04,172.8,1696255200000,104783
2023-10-02 15:00:00,6194528.0,173.6409,173.01,173.08,174.3,172.905,1696258800000,115693
2023-10-02 16:00:00,4269957.0,173.2355,173.09,173.18,173.53,172.82,1696262400000,106781
2023-10-03 10:00:00,7095.0,173.4845,173.42,173.3,173.69,173.3,1696327200000,149
2023-10-03 11:00:00,95759.0,172.885,173.33,172.75,173.37,172.36,1696330800000,1904
2023-10-03 12:00:00,197298.0,172.5494,173.34,172.15,173.76,172.03,1696334400000,4762
2023-10-03 13:00:00,5676717.0,173.0344,172.15,173.27,173.63,170.6365,1696338000000,71872
2023-10-03 14:00:00,9160387.0,171.6613,173.27,171.51,173.3,170.82,1696341600000,164094
2023-10-03 15:00:00,5209702.0,171.6551,171.5,171.75,171.985,171.36,1696345200000,80006
2023-10-03 16:00:00,4973654.0,172.2629,171.7482,172.56,172.69,171.69,1696348800000,46807
2023-10-04 10:00:00,31629.0,170.6473,170.6,170.72,170.9,170.35,1696413600000,547
2023-10-04 11:00:00,162467.0,170.9194,170.71,170.9,171.25,170.66,1696417200000,2753
2023-10-04 12:00:00,484456.0,171.3501,170.72,171.6,171.78,169.57,1696420800000,8653
2023-10-04 13:00:00,7171271.0,172.0397,171.61,172.49,172.69,170.86,1696424400000,87870
2023-10-04 14:00:00,10049156.0,172.6399,172.48,172.45,173.49,171.87,1696428000000,157565
2023-10-04 15:00:00,5713454.0,172.6859,172.44,173.14,173.15,171.86,1696431600000,86801
2023-10-04 16:00:00,3593555.0,173.0703,173.14,173.11,173.29,172.81,1696435200000,38003
2023-10-05 10:00:00,12708.0,173.3396,173.08,173.48,173.51,173.08,1696500000000,289
2023-10-05 11:00:00,44280.0,173.6306,173.41,173.77,173.85,173.34,1696503600000,628
2023-10-05 12:00:00,204711.0,173.4109,173.69,173.3,174.1106,172.8,1696507200000,4118
2023-10-05 13:00:00,5535393.0,173.881,173.27,173.8723,174.408,173.0,1696510800000,73808
2023-10-05 14:00:00,7213443.0,173.2256,173.87,173.0,173.875,172.68,1696514400000,129394
2023-10-05 15:00:00,5927986.0,173.3998,173.0,173.4801,173.83,172.83,1696518000000,80031
2023-10-05 16:00:00,4810814.0,173.8441,173.485,173.947,174.03,173.36,1696521600000,38613
2023-10-06 10:00:00,17225.0,175.316,175.08,175.35,175.5,175.08,1696586400000,291
2023-10-06 11:00:00,53556.0,175.3336,175.36,175.15,175.56,175.1,1696590000000,982
2023-10-06 12:00:00,642185.0,173.4639,175.4105,173.29,175.59,172.75,1696593600000,10077
2023-10-06 13:00:00,6277595.0,173.973,173.29,174.03,175.06,173.04,1696597200000,83221
2023-10-06 14:00:00,8150237.0,174.518,174.04,175.13,175.28,173.35,1696600800000,141426
2023-10-06 15:00:00,7569166.0,175.8338,175.1324,176.7987,176.84,175.09,1696604400000,108041
2023-10-06 16:00:00,5562087.0,176.732,176.795,176.82,177.05,176.31,1696608000000,54548
2023-10-09 10:00:00,44399.0,176.1391,175.99,176.0,176.35,175.99,1696845600000,704
2023-10-09 11:00:00,84854.0,175.9839,175.98,176.01,176.08,175.85,1696849200000,1577
2023-10-09 12:00:00,261414.0,176.1685,175.94,176.3387,176.4899,175.5,1696852800000,4507
2023-10-09 13:00:00,5543977.0,176.6338,176.35,177.18,177.299,175.8,1696856400000,74845
2023-10-09 14:00:00,5643896.0,176.6911,177.18,176.37,177.36,176.2006,1696860000000,129431
2023-10-09 15:00:00,4378737.0,176.815,176.365,177.195,177.23,176.19,1696863600000,100677
2023-10-09 16:00:00,4204806.0,177.6566,177.2,177.6,178.07,177.18,1696867200000,41740
2023-10-10 10:00:00,23594.0,179.0642,179.14,178.82,179.18,178.82,1696932000000,533
2023-10-10 11:00:00,129518.0,178.2295,178.89,177.7,178.89,177.7,1696935600000,2524
2023-10-10 12:00:00,218372.0,178.2351,178.25,178.15,179.11,177.7,1696939200000,4802
2023-10-10 13:00:00,5026454.0,178.4583,178.03,178.63,179.16,177.85,1696942800000,69108
2023-10-10 14:00:00,6376259.0,179.0098,178.63,179.32,179.43,178.35,1696946400000,132533
2023-10-10 15:00:00,4425046.0,179.4873,179.33,179.565,179.68,179.13,1696950000000,81643
2023-10-10 16:00:00,2802223.0,179.5436,179.56,179.51,179.72,179.35,1696953600000,36862
2023-10-11 10:00:00,8143.0,178.561,178.6,178.58,178.64,178.47,1697018400000,161
2023-10-11 11:00:00,49735.0,178.6428,178.56,178.44,178.9,178.4,1697022000000,1092
2023-10-11 12:00:00,308990.0,178.3521,178.58,178.44,178.92,177.63,1697025600000,4719
2023-10-11 13:00:00,6089936.0,178.2568,178.43,177.935,178.9576,177.6,1697029200000,76238
2023-10-11 14:00:00,7081633.0,178.3796,177.93,179.1,179.28,177.67,1697032800000,138444
2023-10-11 15:00:00,5171307.0,178.8775,179.1,178.7083,179.32,178.445,1697036400000,82860
2023-10-11 16:00:00,3535720.0,178.5387,178.71,178.625,178.74,178.27,1697040000000,37784
2023-10-12 10:00:00,26354.0,180.4952,180.48,180.49,180.58,180.43,1697104800000,384
2023-10-12 11:00:00,53191.0,180.3587,180.45,180.47,180.5,180.22,1697108400000,1038
2023-10-12 12:00:00,382327.0,179.9698,180.27,179.94,180.5595,179.49,1697112000000,8298
2023-10-12 13:00:00,5946995.0,180.3815,179.82,180.93,180.99,179.71,1697115600000,77459
2023-10-12 14:00:00,11185128.0,181.6298,180.93,182.06,182.1499,180.81,1697119200000,176669
2023-10-12 15:00:00,6651272.0,181.8996,182.065,181.94,182.34,180.39,1697122800000,89989
2023-10-12 16:00:00,4669794.0,182.0458,181.94,181.955,182.29,181.7907,1697126400000,47607
2023-10-13 10:00:00,27899.0,180.1726,180.32,180.25,180.37,180.04,1697191200000,539
2023-10-13 11:00:00,49607.0,180.286,180.35,180.25,180.45,180.11,1697194800000,991
2023-10-13 12:00:00,157379.0,180.5953,180.1512,181.05,181.23,180.1,1697198400000,4001
2023-10-13 13:00:00,4885441.0,181.3208,181.03,181.17,181.93,180.92,1697202000000,63480
2023-10-13 14:00:00,7695627.0,180.498,181.15,179.625,181.26,179.3701,1697205600000,129091
2023-10-13 15:00:00,6458812.0,179.0956,179.62,178.61,179.69,178.47,1697209200000,98351
2023-10-13 16:00:00,4443634.0,179.0367,178.6,179.06,179.47,178.5301,1697212800000,42609
2023-10-16 10:00:00,160314.0,176.8332,178.43,177.1,178.43,175.84,1697450400000,2977
2023-10-16 11:00:00,167803.0,177.3115,177.14,177.45,177.85,176.85,1697454000000,2966
2023-10-16 12:00:00,243483.0,177.738,177.29,178.15,179.02,176.8504,1697457600000,5339
2023-10-16 13:00:00,8878854.0,177.4036,178.14,177.8,178.36,176.33,1697461200000,127417
2023-10-16 14:00:00,7384903.0,178.3049,177.81,178.82,178.85,177.34,1697464800000,193066
2023-10-16 15:00:00,5149832.0,178.5537,178.82,178.0301,179.075,176.73,1697468400000,56039
2023-10-16 16:00:00,5116479.0,177.6938,178.035,177.55,178.06,177.28,1697472000000,52773
2023-10-17 10:00:00,18403.0,178.0681,178.05,178.16,178.18,177.97,1697536800000,312
2023-10-17 11:00:00,44407.0,178.105,178.16,178.3,178.3,177.96,1697540400000,780
2023-10-17 12:00:00,284168.0,177.7728,178.1893,177.38,178.44,177.35,1697544000000,4023
2023-10-17 13:00:00,9892748.0,175.8744,177.4003,175.3433,177.5,174.8,1697547600000,123525
2023-10-17 14:00:00,9822885.0,176.3468,175.345,176.66,177.23,175.28,1697551200000,168194
2023-10-17 15:00:00,5853039.0,177.1999,176.665,177.73,177.845,176.491,1697554800000,55174
2023-10-17 16:00:00,4625756.0,178.0742,177.73,178.19,178.42,177.63,1697558400000,47152
2023-10-18 10:00:00,25449.0,175.9301,176.1,175.84,176.12,175.7,1697623200000,485
2023-10-18 11:00:00,79597.0,175.7957,175.98,175.61,176.1,175.45,1697626800000,1483
2023-10-18 12:00:00,207925.0,175.7346,175.99,175.66,176.8,175.41,1697630400000,4129
2023-10-18 13:00:00,6481723.0,176.0928,175.66,176.58,176.65,175.35,1697634000000,88419
2023-10-18 14:00:00,9002430.0,176.6218,176.585,176.14,177.575,175.755,1697637600000,161245
2023-10-18 15:00:00,5610314.0,176.8623,176.14,177.02,177.4,176.12,1697641200000,50770
2023-10-18 16:00:00,4832114.0,176.9077,177.015,176.38,177.53,176.26,1697644800000,48014
2023-10-19 10:00:00,16280.0,175.6163,175.55,175.73,175.79,175.43,1697709600000,321
2023-10-19 11:00:00,66663.0,175.4176,175.71,175.3,175.75,175.19,1697713200000,1439
2023-10-19 12:00:00,228074.0,175.7139,175.64,176.21,176.4,174.78,1697716800000,4993
2023-10-19 13:00:00,6867351.0,176.2318,176.17,176.8401,176.855,175.77,1697720400000,83015
2023-10-19 14:00:00,6478644.0,176.7332,176.85,176.465,177.33,176.16,1697724000000,140752
2023-10-19 15:00:00,5361342.0,176.2419,176.46,176.48,176.72,175.635,1697727600000,51969
2023-10-19 16:00:00,9591483.0,176.6929,176.4724,177.0561,177.762,175.46,1697731200000,76553
