,v,vw,o,c,h,l,t,n
288,1313,715.8795,715.9800,715.8500,715.9800,715.8500,2024-02-13,12:01:15,15
289,205,715.7248,715.7100,715.7100,715.7100,715.7100,2024-02-13,12:01:25,7
290,100,715.8500,715.8500,715.8500,715.8500,715.8500,2024-02-13,12:01:40,1
291,100,715.8700,715.8700,715.8700,715.8700,715.8700,2024-02-13,12:01:50,1
292,106,715.6057,715.6000,715.6000,715.6000,715.6000,2024-02-13,12:02:05,2
293,402,715.7438,715.7400,715.7500,715.7500,715.7400,2024-02-13,12:02:15,5
294,555,715.6049,715.6000,715.6000,715.6000,715.6000,2024-02-13,12:02:35,20
295,993,715.5019,715.5000,715.5000,715.5000,715.5000,2024-02-13,12:02:40,15
296,842,715.2444,715.3200,715.2000,715.3200,715.2000,2024-02-13,12:02:50,16
297,680,715.0772,715.0900,715.0600,715.0900,715.0600,2024-02-13,12:03:05,15
298,3871,715.0008,715.0600,715.0000,715.0600,715.0000,2024-02-13,12:03:10,138
299,100,714.5000,714.5000,714.5000,714.5000,714.5000,2024-02-13,12:03:25,1
300,306,714.5418,714.5900,714.5900,714.5900,714.5900,2024-02-13,12:03:30,10
301,1441,714.4117,714.5000,714.3300,714.5000,714.3300,2024-02-13,12:03:40,46
302,292,714.3297,714.3300,714.3300,714.3300,714.3300,2024-02-13,12:03:45,6
303,407,714.4766,714.4500,714.5000,714.5000,714.4500,2024-02-13,12:03:55,9
304,261,714.7219,714.7000,714.7700,714.7700,714.7000,2024-02-13,12:04:35,6
305,300,714.8000,714.8000,714.8000,714.8000,714.8000,2024-02-13,12:04:40,1
306,121,714.7791,714.7800,714.7800,714.7800,714.7800,2024-02-13,12:04:45,4
307,251,714.7740,714.7700,714.7700,714.7700,714.7700,2024-02-13,12:05:00,7
308,301,714.5466,714.5500,714.5500,714.5500,714.5500,2024-02-13,12:05:30,9
309,223,714.7173,714.7300,714.7300,714.7300,714.7300,2024-02-13,12:05:35,5
310,100,714.8000,714.8000,714.8000,714.8000,714.8000,2024-02-13,12:05:40,1
311,238,714.9167,714.8000,715.0000,715.0000,714.8000,2024-02-13,12:05:50,6
312,200,715.2600,715.2600,715.2600,715.2600,715.2600,2024-02-13,12:06:25,2
313,325,715.0235,715.0000,715.0000,715.0000,715.0000,2024-02-13,12:06:35,14
