,v,vw,o,c,h,l,t,n
256,500.0,170.6500,170.6500,170.6500,170.6500,170.6500,2024-02-13,13:10:30,1
257,204.0,170.6706,170.6700,170.6700,170.6700,170.6700,2024-02-13,13:10:45,2
258,500.0,170.6760,170.6700,170.6700,170.6700,170.6700,2024-02-13,13:10:55,5
259,126.0,170.6721,170.6700,170.6700,170.6700,170.6700,2024-02-13,13:11:10,6
260,118.0,170.7000,170.7000,170.7000,170.7000,170.7000,2024-02-13,13:11:20,4
261,488.0,170.7561,170.7500,170.7700,170.7700,170.7500,2024-02-13,13:11:25,8
262,1262.0,170.7825,170.7700,170.8100,170.8100,170.7700,2024-02-13,13:11:35,20
263,1000.0,170.8400,170.8400,170.8400,170.8400,170.8400,2024-02-13,13:11:50,1
264,102.0,170.7991,170.7991,170.7991,170.7991,170.7991,2024-02-13,13:12:00,2
265,100.0,170.8000,170.8000,170.8000,170.8000,170.8000,2024-02-13,13:12:10,1
266,200.0,170.8000,170.8000,170.8000,170.8000,170.8000,2024-02-13,13:12:15,3
267,204.0,170.8053,170.8100,170.8000,170.8100,170.8000,2024-02-13,13:12:20,3
268,693.0,170.8283,170.8400,170.8200,170.8400,170.8200,2024-02-13,13:12:25,10
269,908.0,170.8873,170.8800,170.9000,170.9000,170.8800,2024-02-13,13:12:30,12
270,1650.0,170.9195,170.9195,170.9195,170.9195,170.9195,2024-02-13,13:12:35,1
271,405.0,170.8781,170.8800,170.9116,170.9116,170.8600,2024-02-13,13:12:40,7
272,3099.0,170.8757,170.8800,170.8900,170.8900,170.8700,2024-02-13,13:13:00,28
273,200.0,170.8600,170.8600,170.8600,170.8600,170.8600,2024-02-13,13:13:10,1
274,610.0,170.8462,170.8400,170.8700,170.8700,170.8400,2024-02-13,13:13:20,6
275,338.0,170.8699,170.8700,170.8700,170.8700,170.8700,2024-02-13,13:13:30,4
276,1650.0,170.9000,170.9000,170.9000,170.9000,170.9000,2024-02-13,13:13:50,3
277,288.0,170.9130,170.9200,170.9200,170.9200,170.9200,2024-02-13,13:14:00,5
278,301.0,170.8700,170.8700,170.8700,170.8700,170.8700,2024-02-13,13:14:20,4
279,1018.0,170.9200,170.9200,170.9200,170.9200,170.9200,2024-02-13,13:14:45,2
280,100.0,170.9200,170.9200,170.9200,170.9200,170.9200,2024-02-13,13:14:50,1
281,100.0,170.9100,170.9100,170.9100,170.9100,170.9100,2024-02-13,13:14:55,1
282,200.0,170.8800,170.8800,170.8800,170.8800,170.8800,2024-02-13,13:15:00,1
283,100.0,170.8500,170.8500,170.8500,170.8500,170.8500,2024-02-13,13:15:20,1
284,749.0,170.9019,170.9099,170.9097,170.9099,170.9097,2024-02-13,13:15:25,5
285,206.0,170.8800,170.8800,170.8800,170.8800,170.8800,2024-02-13,13:15:35,2
286,110.0,170.8764,170.8800,170.8800,170.8800,170.8800,2024-02-13,13:15:40,3
287,715.0,170.8420,170.8400,170.8400,170.8400,170.8400,2024-02-13,13:15:50,10
288,663.0,170.8033,170.8000,170.8000,170.8000,170.8000,2024-02-13,13:15:55,6
289,200.0,170.8001,170.8001,170.8001,170.8001,170.8001,2024-02-13,13:16:10,1
290,1000.0,170.8003,170.8000,170.8013,170.8013,170.8000,2024-02-13,13:16:15,3
291,200.0,170.8596,170.8596,170.8596,170.8596,170.8596,2024-02-13,13:16:20,1
292,100.0,170.8600,170.8600,170.8600,170.8600,170.8600,2024-02-13,13:16:25,1
293,147.0,170.8000,170.8000,170.8000,170.8000,170.8000,2024-02-13,13:16:30,2
294,100.0,170.8000,170.8000,170.8000,170.8000,170.8000,2024-02-13,13:16:40,1
295,100.0,170.8600,170.8600,170.8600,170.8600,170.8600,2024-02-13,13:17:00,1
296,100.0,170.8017,170.8017,170.8017,170.8017,170.8017,2024-02-13,13:17:15,1
297,1106.0,170.8390,170.8300,170.8594,170.8594,170.8300,2024-02-13,13:18:05,12
298,641.0,170.8594,170.8600,170.8600,170.8600,170.8600,2024-02-13,13:18:15,7
299,991.0,170.8410,170.8400,170.8400,170.8500,170.8400,2024-02-13,13:18:25,7
