,v,vw,o,c,h,l,t,n
238,1073,170.1201,170.1200,170.1200,170.1200,170.1200,2024-02-13,13:01:25,8
239,608,170.3280,170.1200,170.1200,170.1200,170.1200,2024-02-13,13:01:30,5
240,120,170.1950,170.2000,170.2000,170.2000,170.2000,2024-02-13,13:01:40,2
241,260,171.4959,171.5000,171.5000,171.5000,171.5000,2024-02-13,13:02:05,5
242,1402,171.6281,172.6400,170.1200,172.6400,170.1200,2024-02-13,13:02:10,46
243,639,170.4776,170.2200,171.2500,171.2500,170.2200,2024-02-13,13:02:15,22
244,892,172.0004,172.0000,172.0000,172.0000,172.0000,2024-02-13,13:02:20,11
245,249,172.1118,172.1900,172.1900,172.1900,172.1900,2024-02-13,13:02:30,9
246,139,171.8417,171.7000,171.7000,171.7000,171.7000,2024-02-13,13:02:35,8
247,938,171.6597,171.6700,171.6000,171.6700,171.4900,2024-02-13,13:02:40,29
248,496,171.8415,171.6000,171.9700,171.9700,171.6000,2024-02-13,13:02:45,23
249,499,171.5144,171.9800,171.7900,171.9800,171.4200,2024-02-13,13:02:50,11
250,1389,170.6069,171.8100,171.8900,171.8900,170.1200,2024-02-13,13:02:55,10
251,315,172.1030,172.1300,172.1300,172.1300,172.1300,2024-02-13,13:03:00,5
252,449,171.1500,171.1500,171.1500,171.1500,171.1500,2024-02-13,13:03:10,1
253,1553,170.2711,170.2200,170.3000,170.3000,170.2200,2024-02-13,13:03:15,22
254,665,170.4526,170.3000,170.3000,171.5900,170.3000,2024-02-13,13:03:20,14
255,399,172.3801,172.6400,172.3000,172.6400,172.3000,2024-02-13,13:03:45,4
256,150,172.0000,172.0000,172.0000,172.0000,172.0000,2024-02-13,13:03:50,1
257,454,172.0555,172.0000,172.1000,172.1000,172.0000,2024-02-13,13:04:00,2
258,229,171.5916,171.6000,171.6000,171.6000,171.6000,2024-02-13,13:04:10,5
259,202,172.0000,172.0000,172.0000,172.0000,172.0000,2024-02-13,13:04:15,2
260,114,171.8211,171.8200,171.8200,171.8200,171.8200,2024-02-13,13:04:20,2
261,435,171.6599,171.6400,171.6900,171.6900,171.6400,2024-02-13,13:04:35,2
262,647,170.3031,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:04:40,23
263,255,171.1279,171.1200,171.1200,171.1200,171.1200,2024-02-13,13:05:05,3
264,1276,170.4974,170.4500,170.5000,170.5000,170.4500,2024-02-13,13:05:10,11
265,295,172.1887,172.2200,172.2200,172.2200,172.2200,2024-02-13,13:05:15,4
266,500,170.4500,170.4500,170.4500,170.4500,170.4500,2024-02-13,13:05:20,1
267,137,170.4400,170.4400,170.4400,170.4400,170.4400,2024-02-13,13:05:45,2
268,2750,170.3400,170.3400,170.3400,170.3400,170.3400,2024-02-13,13:06:10,1
269,1000,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:06:45,1
270,400,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:08:55,1
271,2000,170.2989,170.2989,170.2989,170.2989,170.2989,2024-02-13,13:09:30,1
272,500,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:10:40,1
273,405,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:10:45,1
274,200,170.2975,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:10:50,2
275,2352,170.3009,170.3000,170.3100,170.3100,170.3000,2024-02-13,13:10:55,24
276,300,170.2700,170.3100,170.2500,170.3100,170.2500,2024-02-13,13:11:00,2
277,551,170.3155,170.3500,170.3000,170.3500,170.3000,2024-02-13,13:12:00,4
278,1400,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:12:05,6
279,399,170.3426,170.3426,170.3426,170.3426,170.3426,2024-02-13,13:12:30,1
280,1552,170.3430,170.3500,170.3500,170.3500,170.3500,2024-02-13,13:13:05,31
281,670,170.3925,170.4000,170.4000,170.4000,170.4000,2024-02-13,13:13:15,3
282,500,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:13:20,1
283,200,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:13:35,1
284,250,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,13:13:50,1
285,1498,170.3036,170.3000,170.3100,170.3100,170.3000,2024-02-13,13:14:05,9
286,2781,170.3473,170.3400,170.3500,170.3900,170.3400,2024-02-13,13:14:20,42
287,600,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,13:14:50,1
288,305,170.3085,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:15:05,3
289,589,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:15:45,3
290,500,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:15:55,1
291,401,170.3036,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:16:35,5
292,150,170.2500,170.2500,170.2500,170.2500,170.2500,2024-02-13,13:17:05,1
